Visited URL,Firm Name,Firm URL,Practice Area,Ranking,Country
http://www.legal500.com/c/australia/construction,Ashurst,/firms/165/offices/31398,Construction,1,Australia
http://www.legal500.com/c/australia/construction,Clayton Utz,,Construction,1,Australia
http://www.legal500.com/c/australia/construction,Corrs Chambers Westgarth,/firms/30482/offices/31923,Construction,1,Australia
http://www.legal500.com/c/australia/construction,King & Wood Mallesons,,Construction,1,Australia
http://www.legal500.com/c/australia/construction,Minter Ellison,,Construction,1,Australia
http://www.legal500.com/c/australia/construction,Allens,,Construction,2,Australia
http://www.legal500.com/c/australia/construction,Herbert Smith Freehills,,Construction,2,Australia
http://www.legal500.com/c/australia/construction,Norton Rose Fulbright,/firms/2511/offices/30492,Construction,2,Australia
http://www.legal500.com/c/australia/construction,White & Case LLP,/firms/51054/offices/35564,Construction,2,Australia
http://www.legal500.com/c/australia/construction,Baker McKenzie,/firms/50079/offices/31386,Construction,3,Australia
http://www.legal500.com/c/australia/construction,DLA Piper,/firms/908/offices/31420,Construction,3,Australia
http://www.legal500.com/c/australia/construction,Pinsent Masons LLP,,Construction,3,Australia
http://www.legal500.com/c/australia/construction,Clyde & Co LLP,,Construction,4,Australia
http://www.legal500.com/c/australia/construction,Colin Biggers & Paisley,,Construction,4,Australia
http://www.legal500.com/c/australia/construction,Gadens Lawyers,,Construction,4,Australia
http://www.legal500.com/c/australia/construction,HWL Ebsworth,,Construction,4,Australia
http://www.legal500.com/c/australia/construction,Jackson McDonald,,Construction,4,Australia
http://www.legal500.com/c/australia/construction,Jones Day,/firms/50505/offices/34938,Construction,4,Australia
http://www.legal500.com/c/australia/construction,Maddocks,/firms/32094/offices/31745,Construction,4,Australia
http://www.legal500.com/c/australia/construction,McCullough Robertson,/firms/31775/offices/31562,Construction,4,Australia
http://www.legal500.com/c/australia/construction,Mills Oakley,/firms/32121/offices/32469,Construction,4,Australia
http://www.legal500.com/c/australia/construction,Piper Alderman,/firms/31856/offices/37328,Construction,4,Australia
http://www.legal500.com/c/australia/construction,Squire Patton Boggs,/firms/50946/offices/34691,Construction,4,Australia
http://www.legal500.com/c/australia/construction,Arnold Bloch Leibler,,Construction,5,Australia
http://www.legal500.com/c/australia/construction,Blackstone Waterhouse Lawyers,,Construction,5,Australia
http://www.legal500.com/c/australia/construction,HFW,/firms/1603/offices/34303,Construction,5,Australia
http://www.legal500.com/c/australia/construction,K&L Gates,,Construction,5,Australia
http://www.legal500.com/c/australia/construction,Thomson Geer,/firms/34159/offices/34457,Construction,5,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Allens,,Dispute resolution: class actions,1,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Clayton Utz,,Dispute resolution: class actions,1,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Herbert Smith Freehills,,Dispute resolution: class actions,1,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,King & Wood Mallesons,,Dispute resolution: class actions,1,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Maurice Blackburn Lawyers,/firms/34378/offices/34928,Dispute resolution: class actions,1,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Ashurst,/firms/165/offices/31398,Dispute resolution: class actions,2,Australia
http://www.legal500.com/c/australia/capital-markets,Herbert Smith Freehills,,Capital markets,1,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Norton Rose Fulbright,/firms/2511/offices/30492,Dispute resolution: class actions,2,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Arnold Bloch Leibler,,Dispute resolution: class actions,3,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Corrs Chambers Westgarth,/firms/30482/offices/31923,Dispute resolution: class actions,3,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,DLA Piper,/firms/908/offices/31420,Dispute resolution: class actions,3,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Minter Ellison,,Dispute resolution: class actions,3,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Phi Finney McDonald,/firms/231617/offices/231503,Dispute resolution: class actions,3,Australia
http://www.legal500.com/c/australia/capital-markets,King & Wood Mallesons,,Capital markets,1,Australia
http://www.legal500.com/c/australia/capital-markets,Allen & Overy LLP,,Capital markets,2,Australia
http://www.legal500.com/c/australia/capital-markets,Allens,,Capital markets,2,Australia
http://www.legal500.com/c/australia/capital-markets,Ashurst,/firms/165/offices/31398,Capital markets,2,Australia
http://www.legal500.com/c/australia/capital-markets,Baker McKenzie,/firms/50079/offices/31386,Capital markets,3,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,"Quinn Emanuel Urquhart & Sullivan, LLP",,Dispute resolution: class actions,3,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Clifford Chance,/firms/679/offices/33869,Dispute resolution: class actions,4,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Clyde & Co LLP,,Dispute resolution: class actions,4,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Johnson Winter & Slattery,/firms/31655/offices/33734,Dispute resolution: class actions,4,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Squire Patton Boggs,/firms/50946/offices/34691,Dispute resolution: class actions,4,Australia
http://www.legal500.com/c/australia/capital-markets,Clayton Utz,,Capital markets,3,Australia
http://www.legal500.com/c/australia/capital-markets,Corrs Chambers Westgarth,/firms/30482/offices/31923,Capital markets,3,Australia
http://www.legal500.com/c/australia/capital-markets,Gilbert + Tobin,/firms/31564/offices/31411,Capital markets,3,Australia
http://www.legal500.com/c/australia/capital-markets,Minter Ellison,,Capital markets,3,Australia
http://www.legal500.com/c/australia/capital-markets,Norton Rose Fulbright,/firms/2511/offices/30492,Capital markets,3,Australia
http://www.legal500.com/c/australia/capital-markets,Sullivan & Cromwell,/firms/50971/offices/37641,Capital markets,4,Australia
http://www.legal500.com/c/australia/capital-markets,Allens,,Capital markets,1,Australia
http://www.legal500.com/c/australia/capital-markets,Ashurst,/firms/165/offices/31398,Capital markets,1,Australia
http://www.legal500.com/c/australia/capital-markets,Gilbert + Tobin,/firms/31564/offices/31411,Capital markets,1,Australia
http://www.legal500.com/c/australia/capital-markets,Herbert Smith Freehills,,Capital markets,1,Australia
http://www.legal500.com/c/australia/capital-markets,King & Wood Mallesons,,Capital markets,1,Australia
http://www.legal500.com/c/australia/capital-markets,Allen & Overy LLP,,Capital markets,2,Australia
http://www.legal500.com/c/australia/capital-markets,Baker McKenzie,/firms/50079/offices/31386,Capital markets,2,Australia
