Start URL,Lawyer Name,Lawyer Link,Lawyer Ranking,Firm Name,Practice Area,Firm Link,Country
http://www.legal500.com/c/australia/banking-and-finance,John Angus,,Leading Individuals,Herbert Smith Freehills,Banking and finance,,Australia
http://www.legal500.com/c/australia/banking-and-finance,Ken Astridge,,Leading Individuals,King & Wood Mallesons,Banking and finance,,Australia
http://www.legal500.com/c/australia/capital-markets,Paul Cerché,,Next Generation Partners: Capital Markets: Debt,Allens,Capital markets: debt,,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Amanda Banton,http://www.legal500.com/firms/50946/offices/34691/lawyers/9053623,Leading Individuals,Squire Patton Boggs,Dispute resolution: class actions,http://www.legal500.com/firms/50946/offices/34691,Australia
http://www.legal500.com/c/australia/banking-and-finance,Tony Berriman,,Leading Individuals,Minter Ellison,Banking and finance,,Australia
http://www.legal500.com/c/australia/banking-and-finance,Emma de Carle,,Leading Individuals,PricewaterhouseCoopers Legal,,,Australia
http://www.legal500.com/c/australia/capital-markets,Caroline Smart,,Next Generation Partners: Capital Markets: Debt,Ashurst,Capital markets: debt,http://www.legal500.com/firms/165/offices/31398,Australia
http://www.legal500.com/c/australia/capital-markets,Jamie Taylor,,Next Generation Partners: Capital Markets: Debt,Allen & Overy LLP,Capital markets: debt,,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Jason Betts,,Leading Individuals,Herbert Smith Freehills,Dispute resolution: class actions,,Australia
http://www.legal500.com/c/australia/banking-and-finance,Yuen-Yee Cho,,Leading Individuals,King & Wood Mallesons,Banking and finance,,Australia
http://www.legal500.com/c/australia/capital-markets,Alistair Corrigall,,Next Generation Partners: Capital Markets: Equity,Gilbert + Tobin,Capital markets: debt,http://www.legal500.com/firms/31564/offices/31411,Australia
http://www.legal500.com/c/australia/capital-markets,Amanda Isouard,,Next Generation Partners: Capital Markets: Equity,King & Wood Mallesons,Capital markets: debt,,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Ross Drinnan,,Leading Individuals,Allens,Dispute resolution: class actions,,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Guy Foster,,Leading Individuals,Allens,Dispute resolution: class actions,,Australia
http://www.legal500.com/c/australia/banking-and-finance,Dr Nuncio D'Angelo,http://www.legal500.com/firms/2511/offices/30492/lawyers/9048603,Leading Individuals,Norton Rose Fulbright,Banking and finance,http://www.legal500.com/firms/2511/offices/30492,Australia
http://www.legal500.com/c/australia/banking-and-finance,Peter Doyle,,Leading Individuals,Gilbert + Tobin,Banking and finance,http://www.legal500.com/firms/31564/offices/31411,Australia
http://www.legal500.com/c/australia/capital-markets,Andrew Kim,,Next Generation Partners: Capital Markets: Equity,Ashurst,Capital markets: debt,http://www.legal500.com/firms/165/offices/31398,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Damian Grave,,Leading Individuals,Herbert Smith Freehills,Dispute resolution: class actions,,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Tricia Hobson,http://www.legal500.com/firms/2511/offices/30492/lawyers/116639,Leading Individuals,Norton Rose Fulbright,Dispute resolution: class actions,http://www.legal500.com/firms/2511/offices/30492,Australia
http://www.legal500.com/c/australia/banking-and-finance,George Harris,,Leading Individuals,Baker McKenzie,Banking and finance,http://www.legal500.com/firms/50079/offices/31386,Australia
http://www.legal500.com/c/australia/capital-markets,John Elias,,Leading Individuals: Capital Markets: Debt,Minter Ellison,Capital markets: debt,,Australia
http://www.legal500.com/c/australia/capital-markets,Paul Jenkins,http://www.legal500.com/firms/165/offices/31398/lawyers/9034068,Leading Individuals: Capital Markets: Debt,Ashurst,Capital markets: debt,http://www.legal500.com/firms/165/offices/31398,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Colin Loveday,,Leading Individuals,Clayton Utz,Dispute resolution: class actions,,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,John Pavlakis,,Leading Individuals,Ashurst,Dispute resolution: class actions,http://www.legal500.com/firms/165/offices/31398,Australia
http://www.legal500.com/c/australia/banking-and-finance,Richard Hayes,,Leading Individuals,Hogan Lovells,Banking and finance,http://www.legal500.com/firms/2116/offices/35238,Australia
http://www.legal500.com/c/australia/banking-and-finance,Simon Lynch,http://www.legal500.com/firms/31564/offices/31411/lawyers/113553,Leading Individuals,Gilbert + Tobin,Banking and finance,http://www.legal500.com/firms/31564/offices/31411,Australia
http://www.legal500.com/c/australia/capital-markets,Andrew Jinks,,Leading Individuals: Capital Markets: Debt,Clayton Utz,Capital markets: debt,,Australia
http://www.legal500.com/c/australia/capital-markets,Patrick Lowden,,Leading Individuals: Capital Markets: Debt,Herbert Smith Freehills,Capital markets: debt,,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Moira Saville,,Leading Individuals,King & Wood Mallesons,Dispute resolution: class actions,,Australia
http://www.legal500.com/c/australia/banking-and-finance,Alan Maxton,,Leading Individuals,Allens,Banking and finance,,Australia
http://www.legal500.com/c/australia/banking-and-finance,John Mosley,,Leading Individuals,Minter Ellison,Banking and finance,,Australia
http://www.legal500.com/c/australia/capital-markets,Duncan McGrath,,Leading Individuals: Capital Markets: Debt,Baker McKenzie,Capital markets: debt,http://www.legal500.com/firms/50079/offices/31386,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Ben Slade,http://www.legal500.com/firms/34378/offices/35688/lawyers/9047864,Leading Individuals,Maurice Blackburn Lawyers,Dispute resolution: class actions,http://www.legal500.com/firms/34378/offices/34928,Australia
http://www.legal500.com/c/australia/banking-and-finance,Bryan Paisley,,Leading Individuals,Baker McKenzie,Banking and finance,http://www.legal500.com/firms/50079/offices/31386,Australia
http://www.legal500.com/c/australia/banking-and-finance,John Schembri,http://www.legal500.com/firms/31564/offices/31411/lawyers/75379,Leading Individuals,Gilbert + Tobin,Banking and finance,http://www.legal500.com/firms/31564/offices/31411,Australia
http://www.legal500.com/c/australia/energy-transactions-and-regulatory,Stuart Barrymore,,Leading Individuals,Herbert Smith Freehills,Energy (transactions and regulatory),,Australia
http://www.legal500.com/c/australia/capital-markets,Jamie Ng,http://www.legal500.com/firms/165/offices/31398/lawyers/9034194,Leading Individuals: Capital Markets: Debt,Ashurst,Capital markets: debt,http://www.legal500.com/firms/165/offices/31398,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Andrew Watson,http://www.legal500.com/firms/34378/offices/34928/lawyers/9047892,Leading Individuals,Maurice Blackburn Lawyers,Dispute resolution: class actions,http://www.legal500.com/firms/34378/offices/34928,Australia
http://www.legal500.com/c/australia/banking-and-finance,Alexander Schlosser,,Leading Individuals,Clayton Utz,Banking and finance,,Australia
http://www.legal500.com/c/australia/energy-transactions-and-regulatory,Meredith Campion,,Leading Individuals,Allen & Overy LLP,Energy (transactions and regulatory),,Australia
http://www.legal500.com/c/australia/capital-markets,Ian Paterson,,Leading Individuals: Capital Markets: Debt,King & Wood Mallesons,Capital markets: debt,,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Liam Burgess,,Next Generation Partners,King & Wood Mallesons,Dispute resolution: class actions,,Australia
http://www.legal500.com/c/australia/banking-and-finance,Steve Smith,,Leading Individuals,Ashurst,Banking and finance,http://www.legal500.com/firms/165/offices/31398,Australia
http://www.legal500.com/c/australia/energy-transactions-and-regulatory,Louis Chiam,,Leading Individuals,King & Wood Mallesons,Energy (transactions and regulatory),,Australia
http://www.legal500.com/c/australia/energy-transactions-and-regulatory,Tracey Greenaway,,Leading Individuals,Allens,Energy (transactions and regulatory),,Australia
http://www.legal500.com/c/australia/capital-markets,Karolina Popic,,Leading Individuals: Capital Markets: Debt,Allen & Overy LLP,Capital markets: debt,,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Sara Dennis,,Next Generation Partners,Clayton Utz,Dispute resolution: class actions,,Australia
http://www.legal500.com/c/australia/competition-and-trade,Peter Armitage,,Leading Individuals,Ashurst,Competition and trade,http://www.legal500.com/firms/165/offices/31398,Australia
http://www.legal500.com/c/australia/banking-and-finance,Shawn Wytenburg,http://www.legal500.com/firms/165/offices/31398/lawyers/9034379,Leading Individuals,Ashurst,Banking and finance,http://www.legal500.com/firms/165/offices/31398,Australia
http://www.legal500.com/c/australia/energy-transactions-and-regulatory,Michael Harrison,,Leading Individuals,Ashurst,Energy (transactions and regulatory),http://www.legal500.com/firms/165/offices/31398,Australia
http://www.legal500.com/c/australia/capital-markets,Brad Robinson,http://www.legal500.com/firms/30482/offices/30251/lawyers/103168,Leading Individuals: Capital Markets: Debt,Corrs Chambers Westgarth,Capital markets: debt,http://www.legal500.com/firms/30482/offices/31923,Australia
http://www.legal500.com/c/australia/dispute-resolution-class-actions,Helen Mould,,Next Generation Partners,Herbert Smith Freehills,Dispute resolution: class actions,,Australia
http://www.legal500.com/c/australia/competition-and-trade,Matthew Bull,,Leading Individuals,Herbert Smith Freehills,Competition and trade,,Australia
http://www.legal500.com/c/australia/banking-and-finance,Steven Catanzariti,,Next Generation Partners,Herbert Smith Freehills,Banking and finance,,Australia
http://www.legal500.com/c/australia/energy-transactions-and-regulatory,Peter Jarosek,http://www.legal500.com/firms/30482/offices/32437/lawyers/103262,Leading Individuals,Corrs Chambers Westgarth,Energy (transactions and regulatory),http://www.legal500.com/firms/30482/offices/31923,Australia
