Start URL,Lawyer Name,Lawyer Link,Firm Name,Location,Country,Practice Area,Lawyer Overview,Lawyer Ranking
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Douglas Jones AO,https://whoswholegal.com/douglas-jones-ao1,Independent Arbitrator,"Sydney, Australia",Australia,Arbitration,Douglas Jones AO is widely endorsed as “one of the best arbitrators out there”. He offers “phenomenal experience” in the field and is “a leader in promoting international arbitration in Australia”.,Global Elite Thought Leader
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,John McGuiness,https://whoswholegal.com/john-mcguiness,McGrathNicol,"Sydney, Australia",Australia,Arbitration Expert Witnesses,"John McGuiness is held in high esteem by clients and peers alike, who recognise “the high quality of his work, featuring sound mathematical analysis, as well as his very approachable manner”. He continues to be regarded as one of Australia’s pre-eminent names for arbitration testimony.",Global Elite Thought Leader
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Michael Pryles,https://whoswholegal.com/michael-pryles,Michael Pryles Arbitration and Mediation,"Melbourne, Australia",Australia,Arbitration,"Michael Pryles, “the arbitrator extraordinaire”, has an excellent reputation in the space. Peers say, “He encourages and enables each side to clearly articulate its position on the core, and often most controversial, issues,” and is well known for “his calm demeanour and methodical and fair approach”.",Global Elite Thought Leader
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Gavan Griffith QC,https://whoswholegal.com/gavan-griffith-qc,Gavan Griffith QC,"Melbourne, Australia",Australia,Arbitration,"Independent practitioner Gavan Griffith QC is a long-standing figure in the international arbitration field, renowned for his in-depth knowledge of sophisticated arbitration matters involving high-profile parties.",Thought Leader
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Brenda Horrigan,https://whoswholegal.com/brenda-horrigan,Herbert Smith Freehills,"Sydney, Australia",Australia,Arbitration,Brenda Horrigan is “a highly commended lawyer” and a leading name in Australia. She offers broad experience in disputes arising out of emerging markets and impresses peers with her strong international commercial and investment treaty practice.,Thought Leader
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,James Morrison,https://whoswholegal.com/james-morrison,Morrison Law,"Sydney, Australia",Australia,Arbitration,,Thought Leader
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Shane Doyle QC,https://whoswholegal.com/shane--doyle-qc,Level Twenty Seven Chambers,"Brisbane, Australia",Australia,Australia - Arbitration,Shane Doyle QC is a leading light in the arbitration market with a notable talent for handling high-value commercial disputes.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Jonathan Humphrey,https://whoswholegal.com/jonathan-humphrey,HKA,"Sydney, Australia",Australia,Arbitration Expert Witnesses,Jonathan Humphrey is identified as “a big name in the market”. His practice focuses on loss and damages quantifications arising from issues such as contract breaches and negligence.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Dawna Wright,https://whoswholegal.com/dawna-wright,FTI Consulting,"Melbourne, Australia",Australia,Arbitration Expert Witnesses," Dawna Wright is highly recommended by peers in Australia as an expert witness. Sources say, ""She is easy to deal with and the quality of her work is spot-on.""",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Gitanjali Bajaj,https://whoswholegal.com/gitanjali-bajaj,DLA Piper Australia,"Sydney, Australia",Australia,Australia - Arbitration,,Recommended
